mjd,filter,flux,sigflux
58372.46158559993,ZTF_g,-7.8379834606227865,3.4432518314020903
58372.482800900005,ZTF_r,-6.592641921602837,6.433519632490483
58372.488344899844,ZTF_r,-1.503311683386072,6.675868812356774
58373.42143520014,ZTF_g,-0.8100551382708264,3.9672312987766696
58373.46103010001,ZTF_r,-15.883049892956047,7.70298042262309
58374.49979169993,ZTF_r,-10.673449342909407,7.064285520785297
58375.4442245001,ZTF_g,4.4825940855669035,3.717106813379485
58375.445138900075,ZTF_g,4.21993585859269,4.009596349083706
58375.48354170006,ZTF_r,-3.0203475573672907,7.588611467944911
58375.48445599992,ZTF_r,-7.236740056006448,7.413220883533284
58376.42162040016,ZTF_r,-2.9684573109585313,6.8059414490718355
58376.461620400194,ZTF_g,-0.07916913838295715,3.3806556713051514
58377.43934029993,ZTF_r,-9.146731063453679,7.25848775637972
58377.483078700025,ZTF_g,4.38856336956566,4.458234558959228
58378.43498839997,ZTF_r,-0.6735994084685254,6.7323044603866835
58378.435902799945,ZTF_r,-3.9585696605535494,7.354303800439604
58378.46150460001,ZTF_g,7.258413104564766,4.196446506452208
58378.46241899999,ZTF_g,2.740220651279618,3.7355552595607544
58379.418587999884,ZTF_r,-2.2876663445283447,7.676199256588404
58379.46118059987,ZTF_g,5.06843634911472,4.171927376718577
58380.44189810008,ZTF_r,4.840877351613864,6.177272436112055
58382.4387730998,ZTF_g,-3.4021475855085335,3.479913344390082
58382.44060190022,ZTF_g,5.530043644082706,3.5726501856416504
58382.4811689998,ZTF_r,0.9176243620832939,7.038547760929929
58382.48208330013,ZTF_r,-2.2761754059081456,6.884078556809067
58383.40122690005,ZTF_r,-11.860504415887124,12.444344860271869
58383.44075229997,ZTF_g,-4.326827015178579,7.096988272491203
58384.357499999925,ZTF_g,-8.868439878439753,8.927583499373116
58384.477580999956,ZTF_g,-7.123607229543256,9.281272380050833
58384.50368059985,ZTF_r,-8.50935555472708,10.61383260003144
58385.31581019983,ZTF_r,17.115636009940047,24.715852441634333
58385.31672450015,ZTF_r,-23.061772309052536,23.402316664904163
58385.455590299796,ZTF_g,-5.563063654259767,12.895495507196069
58385.45650460012,ZTF_g,3.5840059369223414,12.743930992180891
58386.37905090023,ZTF_r,-3.225349864715921,13.669862872630324
58386.419803199824,ZTF_r,2.9589916972259886,19.597235535456463
58386.48288189992,ZTF_g,5.110459132829129,16.37145481440176
58387.412476900034,ZTF_i,-35.10621216515481,17.002274053475976
58388.41821759986,ZTF_g,20.617821877564797,15.900503112271382
58397.317036999855,ZTF_i,-6.4864331912984206,10.0653276897894
58397.43424770003,ZTF_r,13.630239285745022,6.884486266987307
58423.25442129979,ZTF_i,-3.549296250608345,9.177214769818622
58423.374050899874,ZTF_r,5.9476829792681825,6.20758831630675
58424.29115739977,ZTF_r,16.385434293704712,24.76412713899593
58425.30241899984,ZTF_r,0.4924875076407357,8.799264595962585
58425.31517359987,ZTF_r,21.868420992727387,11.068190243419274
58425.35684029991,ZTF_g,7.744127174840994,4.448248184932195
58427.27627310017,ZTF_i,12.065547992511597,24.142272873765318
58428.274236099795,ZTF_r,3.127576021663676,8.077861359769226
58428.33269680012,ZTF_g,2.084711977248177,3.481851082133137
58429.322384300176,ZTF_r,-11.480720667808235,5.557799439614913
58430.309155100025,ZTF_g,-2.9849685995133903,2.2288738531118324
58431.29363430012,ZTF_r,21.265642941624144,14.22947940599012
58431.34810189996,ZTF_r,22.773891359237098,11.751271997453662
58432.31258099992,ZTF_r,-14.083315901523477,7.855768724116642
58434.28490740014,ZTF_g,9.43730019794128,7.152269574473204
58434.30482639978,ZTF_r,23.332613646274126,14.070687820698193
58436.31565969996,ZTF_r,-1.1008649596920368,19.702445710749213
58437.314317100216,ZTF_r,0.5159210822218115,11.003049751466452
58437.39983800007,ZTF_g,4.369404164859233,7.490744635094739
58438.30357640004,ZTF_r,-105.54981697408282,233.8577751541851
58439.30108800018,ZTF_r,-29.60435478393395,31.765861001840644
58441.25501159998,ZTF_g,-10.335897077920475,10.50574383356777
58441.306759300176,ZTF_r,-6.6675206347463245,23.89187663027091
58447.361192100216,ZTF_r,8.592116225281545,20.511376510230992
58450.34056709986,ZTF_r,6.956909129984854,59.27590999340098
58450.41494210018,ZTF_g,-8.798312679837753,20.0927920814245
58456.23113430012,ZTF_r,5.881473170242645,9.455179070358511
58456.252696800046,ZTF_r,-4.488045889576098,10.577071330533617
58457.23696759995,ZTF_r,-11.531763513713855,8.603253778251128
58462.25923610013,ZTF_g,1.8733414536220292,18.561857671584644
58465.21679400001,ZTF_g,-2.9787490399334553,6.48769503989047
58465.25203699991,ZTF_r,6.74207924155284,11.72933042642427
58468.25438660011,ZTF_r,14.493443575542246,10.880988495936519
58474.121307900175,ZTF_g,-12.16583183248988,17.486539318328855
58474.31186340004,ZTF_r,15.330136258840346,26.763772280447327
58481.26623839978,ZTF_g,5.354182643559223,6.596192919288903
58481.31217590021,ZTF_r,10.00605618455988,15.406309525004382
58482.22158560017,ZTF_r,-7.9933878261706335,9.657084970679746
58482.222048600204,ZTF_r,24.824201778835775,17.327556757271626
58483.17906250013,ZTF_g,1.4952031289827614,4.575653973695648
58483.17952550016,ZTF_g,1.2782734145912982,6.560460205211812
58487.17045139987,ZTF_g,0.797927848609544,4.561572043671308
58487.235682900064,ZTF_r,1.6803149126277792,10.07733491934413
58490.18626159988,ZTF_r,8.86031694553044,8.053038433550595
58493.12734950008,ZTF_r,2.2389494136800105,12.073701504036402
58493.1906365999,ZTF_g,-7.045526804225407,5.007022519702497
58494.182430599816,ZTF_g,-0.419549025537207,5.783283757885689
58495.20315970015,ZTF_g,-14.246854222355976,14.234797816598475
58503.14348379988,ZTF_r,5.452716025652331,19.257268371543372
58503.18928240007,ZTF_g,6.79484284885692,14.73813966362121
58506.220046299975,ZTF_r,2.9330814653906807,25.296642408052993
58514.1279397998,ZTF_r,13.642542587894983,9.130168237661907
58523.149131900165,ZTF_r,1.8515982122770092,10.205512109019992
58523.15004630014,ZTF_r,10.52635185641341,9.076757819783074
58534.17585649993,ZTF_g,3.431563318818551,30.86175067913715
58534.18446760019,ZTF_g,-8.284844049388242,29.28761169317639
