jd mag magerr filt field flux fluxerr adjflux
2459450 18.993 0.131 zg 431 91.79652665277665 11.075752046228061 -5.767329443436168
2459451 18.884 0.108 zg 431 101.4907002304438 10.095450052095963 3.92684413423099
2459454 18.942 0.043 zg 431 96.21133679029508 3.810398385770245 -1.3525193059177383
2459457 19.053 0.054 zg 431 86.86128480316255 4.3201187901951625 -10.70257129305027
2459462 18.98 0.042 zg 431 92.90225355354389 3.5937777815174474 -4.6616025426689305
2459468 18.967 0.044 zg 431 94.02129938939156 3.8102599462038 -3.5425567068212587
2459476 18.969 0.111 zg 431 93.84826517480278 9.59455656793148 -3.7155909214100404
2459478 18.879 0.136 zg 431 101.95916001791495 12.771468522158637 4.395303921702137
2459641 18.996 0.033 zg 431 91.54323357461713 2.7823763219126882 -6.0206225215956835
2459674 19.027 0.034 zg 431 88.96644744214105 2.785998292934007 -8.59740865407177
2459678 18.873 0.029 zg 431 102.52416689239477 2.7384191729535186 4.9603107961819575
2459682 19.035 0.069 zg 431 88.31332756947008 5.612431063446869 -9.250528526742741
2459684 18.984 0.081 zg 431 92.56061870398588 6.9053699067657615 -5.003237392226936
2459690 18.975 0.066 zg 431 93.33107087233728 5.673432138100707 -4.232785223875538
2459698 18.965 0.035 zg 431 94.19465263853408 3.0364768420733728 -3.3692034576787364
2459700 18.982 0.038 zg 431 92.7312788001471 3.2455292353363014 -4.832577296065722
2459702 18.886 0.031 zg 431 101.30391953589407 2.892435097816703 3.7400634396812507
2459710 18.942 0.04 zg 431 96.21133679029508 3.5445566379258096 -1.3525193059177383
2459712 18.867 0.069 zg 431 103.09230475351819 6.551654993928667 5.5284486573053755
2459717 18.981 0.099 zg 431 92.81672680845624 8.463249096574227 -4.747129287756579
2459722 18.967 0.038 zg 431 94.02129938939156 3.290679044448736 -3.5425567068212587
2459724 18.988 0.035 zg 431 92.22024016809094 2.9728293039672775 -5.343615928121878
2459735 18.943 0.028 zg 431 96.12276367003743 2.478905438509 -1.4410924261753877
2459741 18.891 0.084 zg 431 100.83847030497219 7.801555726424938 3.274614208759374
2459743 18.873 0.118 zg 431 102.52416689239477 11.142533186500522 4.9603107961819575
2459749 18.998 0.036 zg 431 91.37475992422758 3.0297335051150807 -6.189096171985241
2459751 18.968 0.038 zg 431 93.93474243949977 3.2876496123624954 -3.629113656713045
2459753 18.906 0.03 zg 431 99.454914624226 2.74804084606486 1.8910585280131897
2459756 18.984 0.032 zg 431 92.56061870398588 2.728047370574128 -5.003237392226936
2459759 18.936 0.032 zg 431 96.74449209169083 2.851359044090978 -0.8193640045219865
2459769 18.996 0.071 zg 431 91.54323357461713 5.986324813812146 -6.0206225215956835
2459769 18.932 0.059 zg 431 97.10156932890129 5.27659717461612 -0.4622867673115252
2459771 18.798 0.069 zg 431 109.85662407860353 6.981536609173194 12.292767982390714
2459771 18.86 0.079 zg 431 103.7591126299442 7.549688277726393 6.195256533731381
2459781 18.914 0.039 zg 431 98.7247968883443 3.5462270317338787 1.160940792131484
2459783 18.975 0.036 zg 431 93.33107087233728 3.0945993480549303 -4.232785223875538
2459785 18.904 0.037 zg 431 99.63828618689607 3.3954993604882375 2.0744300906832507
2459787 18.93 0.036 zg 431 97.28060187417904 3.2255548374668157 -0.2832542220337757
2459789 18.93 0.032 zg 431 97.28060187417904 2.8671598555260585 -0.2832542220337757
2459793 18.943 0.041 zg 431 96.12276367003743 3.6298258206738927 -1.4410924261753877
2459798 18.944 0.071 zg 431 96.03427209108177 6.280009166670236 -1.529584005131042
2459806 18.917 0.034 zg 431 98.4523867154724 3.0830519730819526 0.8885306192595834
2459808 19.017 0.05 zg 431 89.78964384497078 4.134965908453487 -7.774212251242034
2459808 18.987 0.054 zg 431 92.30521727560146 4.5908773337745306 -5.258638820611353
2459808 18.93 0.039 zg 431 97.28060187417904 3.4943510739223838 -0.2832542220337757
2459808 18.944 0.04 zg 431 96.03427209108177 3.5380333333353446 -1.529584005131042
2459808 18.877 0.04 zg 431 102.14714882240665 3.763240034725086 4.583292726193832
2459808 18.988 0.043 zg 431 92.22024016809094 3.652333144874083 -5.343615928121878
2459808 18.918 0.044 zg 431 98.3617504622087 3.9861588858974426 0.7978943659958873
2459808 19.029 0.049 zg 431 88.80271603810976 4.007725879268002 -8.761140058103052
2459808 18.937 0.044 zg 431 96.65542814332306 3.9170093247960023 -0.9084279528897525
2459808 18.861 0.044 zg 431 103.66359095165373 4.201018610122582 6.099734855440914
2459808 18.915 0.042 zg 431 98.63390985154713 3.8154979041965693 1.070053755334314
2459808 18.934 0.042 zg 431 96.92286627019777 3.7493088703394157 -0.6409898260150442
2459808 18.866 0.041 zg 431 103.18730001538891 3.8965996363485167 5.623443919176097
2459808 18.985 0.048 zg 431 92.47540647136277 4.088303854262881 -5.088449624850043
2459808 18.977 0.048 zg 431 93.1593069353359 4.118538843320857 -4.404549160876911
2459808 18.865 0.043 zg 431 103.28238281143398 4.090443370524813 5.718526715221159
2459810 18.958 0.045 zg 431 94.80390990993526 3.929293254891013 -2.75994618627756
2459812 18.823 0.044 zg 431 107.35598201816154 4.350654595562099 9.792125921948724
2459816 18.88 0.041 zg 431 101.86529539402682 3.846677574950628 4.3014392978139995
2459818 18.848 0.044 zg 431 104.91226152041023 4.251621606305734 7.348405424197409
2459823 18.982 0.051 zg 431 92.7312788001471 4.355841868477667 -4.832577296065722
2459825 18.858 0.087 zg 431 103.95042012536662 8.329543135131583 6.386564029153803
2459828 19.097 0.129 zg 431 83.41156101291968 9.91041039574035 -14.15229508329314
2459830 18.962 0.109 zg 431 94.45528198907513 9.482621737849072 -3.1085741071376845
2459840 18.946 0.037 zg 431 95.8575332568729 3.266657881501157 -1.7063228393399186
2459842 18.915 0.05 zg 431 98.63390985154713 4.542259409757821 1.070053755334314
2459844 18.882 0.069 zg 431 101.67782530483586 6.461762917445113 4.113969208623047
2459997 18.958 0.036 zg 431 94.80390990993526 3.1434346039128105 -2.75994618627756
2460036 18.915 0.044 zg 431 98.63390985154713 3.9971882805868817 1.070053755334314
2460045 18.856 0.055 zg 431 104.14208034699185 5.275512038728177 6.57822425077903
2460049 19.006 0.035 zg 431 90.7039601645107 2.923950211704594 -6.859895931702113
2460051 18.976 0.029 zg 431 93.2451493537315 2.4905767343925045 -4.318706742481311
2460053 18.986 0.037 zg 431 92.39027268597428 3.1484996764408146 -5.173583410238535
2460055 19.059 0.035 zg 431 86.38259548992536 2.7846458733693162 -11.181260606287452
2460057 18.957 0.036 zg 431 94.89126776142334 3.1463311478797418 -2.6725883347894808
2460061 18.997 0.034 zg 431 91.4589579569334 2.864051651688695 -6.104898139279413
2460063 19.001 0.034 zg 431 91.12263062204994 2.8535195083043954 -6.441225474162877
2460139 18.976 0.046 zg 431 93.2451493537315 3.950569992484662 -4.318706742481311
2460139 18.987 0.047 zg 431 92.30521727560146 3.9957636053222765 -5.258638820611353
2460139 18.871 0.044 zg 431 102.71319743719548 4.162503439998474 5.149341340982659
2460139 18.896 0.043 zg 431 100.37515961901023 3.9753043554248513 2.8113035227974166
2460139 18.956 0.046 zg 431 94.97870610953082 4.024016572249894 -2.585149986681998
2460139 18.936 0.048 zg 431 96.74449209169083 4.277038566136467 -0.8193640045219865
2460139 19.032 0.048 zg 431 88.55768374642733 3.91510276732041 -9.006172349785487
2460139 18.932 0.042 zg 431 97.10156932890129 3.7562217175233403 -0.4622867673115252
2460139 18.844 0.043 zg 431 105.29948543035296 4.17032963777224 7.7356293341401425
2460139 18.935 0.04 zg 431 96.83363810877496 3.5674830657543266 -0.7302179874378538
2460139 18.994 0.047 zg 431 91.7120178509485 3.9700848328575593 -5.851838245264318
2460139 18.942 0.04 zg 431 96.21133679029508 3.5445566379258096 -1.3525193059177383
2460139 18.885 0.036 zg 431 101.39726687532747 3.3620520265555394 3.833410779114658
2460139 18.965 0.037 zg 431 94.19465263853408 3.2099898044775648 -3.3692034576787364
2460139 18.935 0.04 zg 431 96.83363810877496 3.5674830657543266 -0.7302179874378538
2458198 18.57 0.03 zr 431 135.52713229562588 3.7447530542416807 -2.8193708885824265
2458231 18.55 0.041 zr 431 138.04676980399552 5.212976722301235 -0.2997333802127855
2458244 18.462 0.042 zr 431 149.70153341648006 5.790968723284702 11.355030232271758
2458257 18.535 0.029 zr 431 139.96719166844156 3.73852188091033 1.6206884842332556
2458257 18.503 0.03 zr 431 144.15385102253396 3.9831181015460544 5.807347838325654
2458279 18.581 0.032 zr 431 134.1609883194027 3.954138774599744 -4.1855148648056115
2458282 18.557 0.034 zr 431 137.15961231886251 4.295174830133073 -1.186890865345788
2458288 18.584 0.03 zr 431 133.79079947959087 3.696776405537538 -4.555703704617429
2458291 18.643 0.045 zr 431 126.71448093669211 5.251875747683498 -11.63202224751619
2458300 18.512 0.044 zr 431 142.96385452877857 5.793681348838853 4.617351344570267
2458303 18.519 0.032 zr 431 142.0450974015473 4.186507824764034 3.698594217339007
2458306 18.555 0.039 zr 431 137.4125025107764 4.935902086008202 -0.9340006734319104
2458331 18.523 0.032 zr 431 141.52274671978196 4.171112536531737 3.1762435355736613
2458337 18.532 0.033 zr 431 140.35447010983663 4.265951060051845 2.007966925628324
2458344 18.517 0.033 zr 431 142.3069952834019 4.325296350782025 3.9604920991936012
2458362 18.558 0.044 zr 431 137.03334180603414 5.553344369508883 -1.3131613781741578
2458487 18.475 0.047 zr 431 147.91977887067316 6.403240102387848 9.573275686464854
2458487 18.471 0.065 zr 431 148.46574055620076 8.888230026650765 10.119237371992455
2458488 18.611 0.045 zr 431 130.50472892687267 5.408968381060425 -7.841774257335629
2458488 18.569 0.044 zr 431 135.65201489917027 5.4973654092092685 -2.694488285038034
2458488 18.516 0.043 zr 431 142.43812524810005 5.641185546569057 4.091622063891748
2458488 18.494 0.054 zr 431 145.35375275884013 7.229290701166146 7.007249574631828
2458493 18.572 0.046 zr 431 135.27771188722386 5.731387347627918 -3.0687912969844433
2458493 18.557 0.042 zr 431 137.15961231886251 5.3058042019290905 -1.186890865345788
2458493 18.474 0.034 zr 431 148.05608078150192 4.636399453670677 9.709577597293617
2458493 18.615 0.041 zr 431 130.02481631196721 4.910048541651287 -8.321686872241088
2458494 18.539 0.037 zr 431 139.45248219004182 4.752297858742758 1.1059790058335182
2458494 18.531 0.04 zr 431 140.48380090396998 5.175614492297996 2.1372977197616763
2458494 18.563 0.044 zr 431 136.40373079150993 5.527829069827745 -1.942772392698373
2458494 18.612 0.055 zr 431 130.38458496634777 6.604875237394016 -7.961918217860529
2458495 18.638 0.06 zr 431 127.29936840593128 7.03482307293731 -11.047134778277027
2458495 18.526 0.045 zr 431 141.13224466645445 5.849442048775797 2.785741482246152
2458495 18.574 0.035 zr 431 135.02875050528394 4.352812632547107 -3.3177526789243643
2458495 18.573 0.046 zr 431 135.15317387078113 5.726110975032752 -3.1933293134271707
2458558 18.527 0.07 zr 431 141.00231690849884 9.09075532375169 2.655813724290539
2458573 18.577 0.03 zr 431 134.6561672594612 3.7206874009361792 -3.690335924747103
2458584 18.561 0.034 zr 431 136.65522731497254 4.279379934414293 -1.691275869235767
2458587 18.55 0.046 zr 431 138.04676980399552 5.848705590874556 -0.2997333802127855
2458597 18.659 0.05 zr 431 124.86083902139622 5.750054132587925 -13.485664162812085
2458606 18.609 0.034 zr 431 130.74534907289132 4.094311167848177 -7.601154111316987
2458617 18.455 0.037 zr 431 150.66981288053728 5.134564963523326 12.323309696328977
2458628 18.626 0.038 zr 431 128.71413691843645 4.504903844474993 -9.63236626577185
2458633 18.561 0.029 zr 431 136.65522731497254 3.6500593558239554 -1.691275869235767
2458636 18.549 0.029 zr 431 138.1739741484836 3.6906250641228997 -0.17252903572469336
2458639 18.561 0.029 zr 431 136.65522731497254 3.6500593558239554 -1.691275869235767
2458642 18.568 0.026 zr 431 135.77701257682807 3.251436501358962 -2.5694906073802315
