jd mag magerr filt field
2458880 19.259 0.061 zr 414
2458881 19.294 0.052 zr 414
2458887 18.96 0.122 zr 414
2458891 19.13 0.066 zr 414
2458891 19.168 0.07 zr 414
2458893 19.288 0.043 zr 414
2458894 19.328 0.044 zr 414
2458894 19.428 0.05 zr 414
2458895 19.279 0.042 zr 414
2458896 19.474 0.051 zr 414
2458898 19.372 0.047 zr 414
2458898 19.311 0.043 zr 414
2458899 19.296 0.043 zr 414
2458900 19.288 0.048 zr 414
2458903 19.32 0.051 zr 414
2458904 19.292 0.051 zr 414
2458904 19.293 0.051 zr 414
2458906 19.177 0.073 zr 414
2458912 19.277 0.067 zr 414
2458912 19.298 0.08 zr 414
2458913 19.001 0.102 zr 414
2458915 19.208 0.114 zr 414
2458938 19.227 0.045 zr 414
2458939 19.217 0.055 zr 414
2458941 19.231 0.081 zr 414
2458954 19.255 0.061 zr 414
2458955 19.222 0.05 zr 414
2458956 19.206 0.047 zr 414
2458956 19.172 0.041 zr 414
2458962 19.268 0.053 zr 414
2458964 19.192 0.066 zr 414
2458966 19.107 0.063 zr 414
2458967 19.198 0.048 zr 414
2458967 19.104 0.045 zr 414
2458968 19.132 0.047 zr 414
2458973 19.076 0.078 zr 414
2459114 19.154 0.057 zr 414
2459114 19.086 0.059 zr 414
2459114 19.017 0.059 zr 414
2459114 19.134 0.088 zr 414
2459114 19.179 0.147 zr 414
2459116 19.067 0.056 zr 414
2459116 19.16 0.071 zr 414
2459116 19.067 0.069 zr 414
2459116 19.097 0.1 zr 414
2459127 19.144 0.12 zr 414
2459131 19.008 0.074 zr 414
2459136 19.08 0.048 zr 414
2459138 19.084 0.045 zr 414
2459140 19.085 0.049 zr 414
2459142 19.096 0.038 zr 414
2459143 19.128 0.042 zr 414
2459146 19.174 0.038 zr 414
2459151 19.112 0.045 zr 414
2459152 19.016 0.075 zr 414
2459153 19.061 0.072 zr 414
2459165 19.12 0.041 zr 414
2459168 19.082 0.049 zr 414
2459174 19.14 0.07 zr 414
2459177 19.042 0.041 zr 414
2459179 19.135 0.038 zr 414
2459185 19.037 0.081 zr 414
2459189 19.011 0.19 zr 414
2459194 19.104 0.055 zr 414
2459194 19.164 0.045 zr 414
2459194 19.183 0.05 zr 414
2459203 19.116 0.05 zr 414
2459210 18.993 0.061 zr 414
2459216 19.034 0.085 zr 414
2459217 18.928 0.062 zr 414
2459217 19.096 0.066 zr 414
2459218 18.993 0.048 zr 414
2459218 19.067 0.049 zr 414
2459218 19.008 0.046 zr 414
2459219 19.12 0.065 zr 414
2459219 19.049 0.051 zr 414
2459220 19.044 0.122 zr 414
2459220 19.062 0.134 zr 414
2459221 19.025 0.049 zr 414
2459222 19.076 0.042 zr 414
2459222 19.012 0.04 zr 414
2459222 19.024 0.043 zr 414
2459223 18.994 0.043 zr 414
2459224 19.056 0.045 zr 414
2459224 19.175 0.051 zr 414
2459225 19.059 0.043 zr 414
2459225 19.157 0.073 zr 414
2459226 19.047 0.045 zr 414
2459226 19.07 0.046 zr 414
2459227 19.023 0.045 zr 414
2459227 19.136 0.036 zr 414
2459228 19.066 0.038 zr 414
2459228 19.049 0.034 zr 414
2459228 19.052 0.042 zr 414
2459230 19.086 0.047 zr 414
2459230 19.108 0.047 zr 414
2459230 18.996 0.04 zr 414
2459231 19.056 0.043 zr 414
2459232 19.114 0.036 zr 414
2459232 19.155 0.034 zr 414
2459232 19.007 0.034 zr 414
2459233 19.062 0.044 zr 414
2459248 19.078 0.049 zr 414
2459248 18.968 0.043 zr 414
2459248 19.061 0.046 zr 414
2459248 19.0 0.043 zr 414
2459249 18.955 0.068 zr 414
2459249 19.17 0.085 zr 414
2459250 19.033 0.052 zr 414
2459251 19.074 0.037 zr 414
2459252 19.091 0.036 zr 414
2459254 19.044 0.03 zr 414
2459256 19.025 0.034 zr 414
2459260 19.099 0.053 zr 414
2459265 18.974 0.039 zr 414
2459267 19.049 0.057 zr 414
2459271 18.897 0.098 zr 414
2459273 19.182 0.139 zr 414
2459275 18.994 0.076 zr 414
2459278 19.121 0.049 zr 414
2459280 19.026 0.035 zr 414
2459281 19.157 0.037 zr 414
2459281 19.118 0.035 zr 414
2459290 18.954 0.034 zr 414
2459291 19.048 0.038 zr 414
2459291 19.118 0.038 zr 414
2459292 19.017 0.04 zr 414
2459302 18.881 0.073 zr 414
2459302 18.912 0.069 zr 414
2459304 19.017 0.044 zr 414
2459304 18.952 0.037 zr 414
2459306 18.976 0.039 zr 414
2459307 19.013 0.038 zr 414
2459309 18.991 0.037 zr 414
2459309 18.953 0.04 zr 414
2459313 18.948 0.042 zr 414
2459315 18.986 0.037 zr 414
2459317 19.004 0.031 zr 414
2459321 19.015 0.043 zr 414
2459323 18.889 0.063 zr 414
2459329 18.812 0.067 zr 414
2459329 18.933 0.08 zr 414
2459335 18.918 0.055 zr 414
2459335 18.893 0.065 zr 414
2459341 18.761 0.039 zr 414
2459480 18.899 0.089 zr 414
2459480 18.724 0.076 zr 414
2459480 18.716 0.072 zr 414
2459480 18.68 0.07 zr 414
2459480 18.793 0.074 zr 414
2459481 18.759 0.08 zr 414
2459481 18.713 0.078 zr 414
2459481 18.813 0.072 zr 414
2459481 18.764 0.065 zr 414
2459501 18.755 0.034 zr 414
2459509 18.76 0.055 zr 414
2459520 18.724 0.046 zr 414
2459521 18.914 0.042 zr 414
2459522 18.771 0.03 zr 414
2459523 18.818 0.032 zr 414
2459524 18.804 0.032 zr 414
2459524 18.809 0.029 zr 414
2459524 18.837 0.033 zr 414
2459525 18.831 0.032 zr 414
2459527 18.82 0.031 zr 414
2459527 18.759 0.032 zr 414
2459528 18.807 0.034 zr 414
2459532 18.764 0.038 zr 414
2459532 18.752 0.036 zr 414
2459536 18.819 0.044 zr 414
2459537 18.819 0.042 zr 414
2459541 18.739 0.049 zr 414
2459550 18.734 0.031 zr 414
2459550 18.81 0.031 zr 414
2459550 18.773 0.028 zr 414
2459600 18.681 0.038 zr 414
2459640 18.711 0.028 zr 414
2459640 18.735 0.028 zr 414
2459641 18.7 0.044 zr 414
2459672 18.713 0.025 zr 414
2459674 18.646 0.029 zr 414
2459678 18.615 0.037 zr 414
2459683 18.662 0.047 zr 414
2459685 18.449 0.051 zr 414
2459694 18.602 0.035 zr 414
2459699 18.588 0.032 zr 414
2459845 18.559 0.036 zr 414
2459845 18.53 0.034 zr 414
2459845 18.528 0.036 zr 414
